Id,Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated
chainlink,Chainlink,Immunefi,3000000,0,0,"Solidity","Oracle","Infrastructure","ETH","Smart Contract,Websites and Applications",2023-02-16 15:47:15.377000+00:00
wormhole,Wormhole,Immunefi,2500000,0,0,"Solidity,Rust","DEX,Crosschain Liquidity,Lending","Blockchain,NFT","ETH,Fantom,Polygon,Solana,Terra","Smart Contract,Blockchain/DLT",2023-05-05 04:39:52.802000+00:00
thegraph,The Graph,Immunefi,2500000,749488,4336,"Solidity,Rust","Staking","Blockchain,Infrastructure","ETH,Avalanche,Fantom,Polygon,Fuse","Smart Contract,Websites and Applications,Blockchain/DLT",2023-08-05 15:32:03.746000+00:00
zksync,zkSync,Immunefi,2300000,0,0,"Rust","L2","NFT","ETH","Smart Contract,Websites and Applications,Blockchain/DLT",2023-04-04 13:38:42.654000+00:00
axelarnetwork,Axelar Network,Immunefi,2250000,0,0,"Rust","Crosschain Liquidity,AMM","Defi,NFT","ETH,Avalanche,Fantom,Polygon","Smart Contract,Blockchain/DLT",2022-10-24 16:23:30.334000+00:00
optimism,Optimism,Immunefi,2000042,2177042,1809,"Solidity","L2,L1","Defi,NFT","ETH,Optimism","Smart Contract,Blockchain/DLT",2023-06-23 17:10:10.854000+00:00
rhinofi,Rhino.fi,Immunefi,2000000,0,0,"Solidity","L2","Blockchain","ETH","Smart Contract",2023-06-30 11:46:55.074000+00:00
eigenlayer,EigenLayer,Immunefi,2000000,0,0,"Solidity","Staking","Infrastructure","ETH","Smart Contract,Websites and Applications",2023-07-17 21:06:42.575000+00:00
sweateconomy,Sweat Economy,Immunefi,2000000,0,0,"Rust","Staking","Defi,NFT","","Smart Contract",2023-04-04 14:09:49.171000+00:00
lidoonpolygon,Lido on Polygon,Immunefi,2000000,0,0,"Solidity","Staking","Defi","ETH","Smart Contract,Websites and Applications",2023-04-15 08:41:24.673000+00:00
zodiac,Zodiac,Immunefi,2000000,0,0,"Solidity","","Defi","ETH","Smart Contract",2022-10-31 14:56:40.236000+00:00
